start_ip,end_ip,country,country_name,continent,continent_name
2001:2d8:ee9b:5900::,2001:2d8:ef25:2fff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ef25:3100::,2001:2d8:ef30:6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ef30:800::,2001:2d8:ef48:15ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:ef48:1700::,2001:2d8:f014:f5ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f014:f700::,2001:2d8:f031:bdff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f031:bf00::,2001:2d8:f03d:3dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f03d:3f00::,2001:2d8:f08c:afff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f08c:b100::,2001:2d8:f08d:73ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f08d:7500::,2001:2d8:f13a:44ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f13a:4600::,2001:2d8:f19d:ddff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f19d:df00::,2001:2d8:f217:13ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f217:1500::,2001:2d8:f21d:4dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f21d:4f00::,2001:2d8:f225:64ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:2d8:f225:6600::,2001:2d8:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:320::,2001:320:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:330::,2001:330:1:1fff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:330:1:2100::,2001:330:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:378::,2001:378:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:390::,2001:390:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:3a8::,2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ecce::,2001:470:ecce:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ed58::,2001:470:ed58:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:edc7::,2001:470:edc7:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:edd2::,2001:470:edd2:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:edd6::,2001:470:edd6:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:edda::,2001:470:edda:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:edf6::,2001:470:edf6:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:edfb::,2001:470:edfb:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee09::,2001:470:ee09:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee13::,2001:470:ee13:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee16::,2001:470:ee16:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee18::,2001:470:ee18:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee28::,2001:470:ee28:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee2d::,2001:470:ee2d:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee30::,2001:470:ee30:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee35::,2001:470:ee37:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee3c::,2001:470:ee3c:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee40::,2001:470:ee40:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee46::,2001:470:ee46:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ee4b::,2001:470:ee4b:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eea5::,2001:470:eea5:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eeb1::,2001:470:eeb1:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eeb3::,2001:470:eeb3:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eeb5::,2001:470:eeb5:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eec8::,2001:470:eec8:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eecd::,2001:470:eecd:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eed3::,2001:470:eed3:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eed5::,2001:470:eed7:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef05::,2001:470:ef05:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef33::,2001:470:ef33:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef3a::,2001:470:ef3a:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef44::,2001:470:ef44:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef58::,2001:470:ef58:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef65::,2001:470:ef65:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef68::,2001:470:ef68:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef89::,2001:470:ef89:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef93::,2001:470:ef93:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef97::,2001:470:ef97:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef9a::,2001:470:ef9a:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:ef9f::,2001:470:ef9f:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efa3::,2001:470:efa3:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efa7::,2001:470:efa7:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efcb::,2001:470:efcb:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efcf::,2001:470:efcf:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efd2::,2001:470:efd2:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efe9::,2001:470:efe9:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:efec::,2001:470:efed:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eff0::,2001:470:eff0:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eff4::,2001:470:eff4:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:eff7::,2001:470:eff7:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:effe::,2001:470:effe:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:470:f939:d45d::,2001:470:f939:d45d:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:500:15:6700::,2001:500:15:67ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:67c:1800::,2001:67c:1800:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:7fa:0:2::,2001:7fa:0:2:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:7fa:8::,2001:7fa:8:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:8f8:3031:e700::,2001:8f8:3031:e7ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:8f8:309a:7d00::,2001:8f8:309a:7dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:c48::,2001:c48:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:c98::,2001:c98:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:cf0::,2001:cf0:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:d38:0:100::,2001:d38:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:dc5::,2001:dc5:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:dcc::,2001:dcc:4:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:dcc:5:100::,2001:dcc:5:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:dcc:6:100::,2001:dcc:501:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:dcc:502:100::,2001:dcc:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:dd8:17::,2001:dd8:17:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:de8:7:1::,2001:de8:7:1:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df0:290::,2001:df0:290:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df0:32c0::,2001:df0:32c0:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df0:d580::,2001:df0:d580:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df0:e540::,2001:df0:e540:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df1:6c80::,2001:df1:6c80:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df3:3880::,2001:df3:3880:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df4:f780::,2001:df4:f780:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:df5:6800::,2001:df5:6800:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60::,2001:e60:109c:dcff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:109c:de00::,2001:e60:3033:1ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:3033:300::,2001:e60:3172:bcff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:3172:be00::,2001:e60:8035:d0ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:8035:d200::,2001:e60:8346:50ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:8346:5200::,2001:e60:8766:2bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:8766:2d00::,2001:e60:87d0:b6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:87d0:b800::,2001:e60:87d6:33ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:87d6:3500::,2001:e60:880a:8dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:880a:8f00::,2001:e60:880b:32ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:880b:3400::,2001:e60:8831:aeff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:8831:b000::,2001:e60:8851:f5ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:8851:f700::,2001:e60:9058:4aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:9058:4c00::,2001:e60:9064:bcff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:9064:be00::,2001:e60:914b:98b6:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:914b:98b8::,2001:e60:9168:ae0:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:9168:ae2::,2001:e60:9259:b6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:9259:b800::,2001:e60:9267:8ff1:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:9267:8ff3::,2001:e60:926b:a6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:926b:a800::,2001:e60:b210:a6ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:b210:a800::,2001:e60:c316:44ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:c316:4600::,2001:e60:ca16:64ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:ca16:6600::,2001:e60:cb31:4aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e60:cb31:4c00::,2001:e60:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e70::,2001:e70:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e78::,2001:e78:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:e98::,2001:e98:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ea0::,2001:ea0:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ea8::,2001:ea8:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:eb8::,2001:eb8:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ed0::,2001:ed0:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ee0:1a66:4700::,2001:ee0:1a66:47ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ee0:1b13:4f00::,2001:ee0:1b13:4fff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ee0:1b29:8a00::,2001:ee0:1b29:8aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ee8::,2001:ee8:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ef0::,2001:ef0:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:ef8::,2001:ef8:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:f28::,2001:f28:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:f48::,2001:f48:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:19f0:ffff::,2001:19f0:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430::,2001:4430:40e2:7eff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:40e2:8000::,2001:4430:4135:82c5:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:4135:82c7::,2001:4430:4164:25ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:4164:2700::,2001:4430:416d:b1ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:416d:b300::,2001:4430:41a9:1cff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:41a9:1e00::,2001:4430:530e:ccff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:530e:ce00::,2001:4430:6045:30ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:6045:3200::,2001:4430:607f:2aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:607f:2c00::,2001:4430:6080:4aff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:6080:4c00::,2001:4430:6816:8adb:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:6816:8add::,2001:4430:6825:62ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:6825:6400::,2001:4430:c004:9bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c004:9d00::,2001:4430:c012:f8ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c012:fa00::,2001:4430:c04c:41ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c04c:4300::,2001:4430:c052:2f6d:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c052:2f6f::,2001:4430:c066:5dff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c066:5f00::,2001:4430:c0c7:75ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c0c7:7700::,2001:4430:c10c:56ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c10c:5800::,2001:4430:c116:adff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c116:af00::,2001:4430:c13c:3fff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c13c:4100::,2001:4430:c13f:ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c13f:200::,2001:4430:c19e:52ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c19e:5400::,2001:4430:c19e:f0ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:c19e:f200::,2001:4430:d000:66ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d000:6800::,2001:4430:d056:2bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d056:2d00::,2001:4430:d0a4:74bb:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d0a4:74bd::,2001:4430:d0f5:49ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d0f5:4b00::,2001:4430:d0f5:9e4f:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d0f5:9e51::,2001:4430:d133:24ff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d133:2600::,2001:4430:d135:6bff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
2001:4430:d135:6d00::,2001:4430:ffff:ffff:ffff:ffff:ffff:ffff,KR,South Korea,AS,Asia
