Domain,IP
ba.beusable.net.,52.78.45.161
rum.beusable.net.,3.36.140.216
www.gov.kr.,125.60.35.230
www.nts.go.kr.,116.67.121.13
weblog.nts.go.kr.,116.67.121.104
gateway.fe.apple-dns.net.,17.248.221.9
ssl.gstatic.com.,142.250.206.227
onedscolprdeus12.eastus.cloudapp.azure.com.,20.42.73.27
onedscolprdeus01.eastus.cloudapp.azure.com.,52.168.112.66
www.kosaf.go.kr.,114.70.96.110
count.kosaf.go.kr.,114.70.96.79
www.notion.so.,104.18.7.183
er.search.naver.com.,223.130.200.153
safebrowsing.googleapis.com.,142.250.196.106
www.google.com.,172.217.25.164
adservice.google.com.,142.250.206.226
play.google.com.,172.217.161.238
accounts.google.com.,142.250.206.205
i.ytimg.com.,172.217.25.182
googleads.g.doubleclick.net.,142.250.76.130
static.doubleclick.net.,172.217.25.166
jnn-pa.googleapis.com.,172.217.161.202
www.gstatic.com.,142.250.206.227
www.googleadservices.com.,142.250.206.226
fonts.googleapis.com.,142.250.206.234
pagead2.googlesyndication.com.,172.217.25.162
fonts.gstatic.com.,172.217.161.195
googleads.g.doubleclick.net.,142.250.76.130
adservice.google.com.,142.250.206.226
googleads.g.doubleclick.net.,142.250.76.130
content-autofill.googleapis.com.,142.250.76.138
www.google.com.,172.217.25.164
tpc.googlesyndication.com.,172.217.25.161
pagead2.googlesyndication.com.,172.217.25.162
clientservices.googleapis.com.,172.217.26.227
gateway.fe.apple-dns.net.,17.248.221.3
exp.notion.so.,104.18.6.183
www.googleapis.com.,142.250.76.138
www.kosaf.go.kr.,114.70.96.110
count.kosaf.go.kr.,114.70.96.79
instantmessaging-pa.googleapis.com.,142.251.42.202
remotedesktop-pa.googleapis.com.,142.251.42.170
www.gstatic.com.,142.251.42.131
i.ytimg.com.,172.217.175.118
fonts.googleapis.com.,172.217.175.234
googleads.g.doubleclick.net.,172.217.161.66
www.gstatic.com.,142.251.42.195
jnn-pa.googleapis.com.,142.251.42.138
static.doubleclick.net.,142.250.207.38
www.google.com.,142.251.222.36
www.google.co.kr.,172.217.161.67
youtube.com.,172.217.31.142
www.google.co.kr.,172.217.161.67
youtube.com.,172.217.31.142
www.google.co.kr.,172.217.161.67
youtube.com.,142.250.199.110
www.notion.so.,104.18.7.183
api-iam.intercom.io.,44.211.195.229
www.nts.go.kr.,116.67.121.13
play.google.com.,142.250.196.142
weblog.nts.go.kr.,116.67.121.104
safebrowsing.googleapis.com.,142.251.42.170
accounts.google.com.,172.217.161.77
katalk-fo6ld96d.kgslb.com.,211.249.219.27
gateway.fe.apple-dns.net.,17.248.221.122
www.googleapis.com.,142.250.196.106
www.googleapis.com.,142.250.199.106
ssl.gstatic.com.,142.250.196.131
docs.google.com.,142.251.222.46
play.google.com.,142.250.196.142
o33249.ingest.sentry.io.,34.120.195.249
www.criminalip.io.,104.22.2.20
d-collector.jennifersoft.com.,3.39.171.21
www.google.com.,142.250.196.100
www.google-analytics.com.,142.251.222.46
adservice.google.com.,172.217.31.130
play.google.com.,172.217.26.238
accounts.google.com.,142.251.222.45
www.gstatic.com.,142.251.42.195
